,Hotel_Name,Date,X,Y,Review,result
1,2fortheroadหาดจอมเทยนไทย,ก.พ.2016,12.89398,100.87397,"Прогуливались вечером, и решили погулять не вдоль дороги. Наткнулись на этот бар. Взяли 2 фреша, расценки средние, не дороже придорожных кафе. Еду не брали, не были голодны. Обстановка спокойная и вполне приятная. Фреши оказались как и везде, вкусные))","('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
2,2fortheroadหาดจอมเทยนไทย,ก.พ.2016,12.89398,100.87397,"Бар в который заходил пару раз. Ничего особенного, чинно и спокойно. особого веселья тут не было, кухня без изысков.","('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
3,2fortheroadหาดจอมเทยนไทย,ก.พ.2016,12.89398,100.87397,"Тихий и спокойный бар. Находится немного вдалеке от основной дороги, поэтому тут нет толп людей вечером приятно посидеть с бутылочкой пива.","('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
4,2fortheroadหาดจอมเทยนไทย,ม.ค.2016,12.89398,100.87397,"First drink here, charming comfortable place, haven't been here in the evening yet. Didn't have any Chang beer but had a very nice singha instead.","('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
5,2fortheroadหาดจอมเทยนไทย,ก.ย.2014,12.89398,100.87397,"I have visited ""2 for the road"" several times now during my visits to the Jomtien area. I have always found the staff & management, courteous, knowledgable of the area, great to deal with. Service is always good and the atmosphere is very comfortable and relaxing.
The facility is clean and well looked after and they have a very good selection of cocktails and beverages to serve.
One of my favourite places to stop at in the Jomtien area.","('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
6,2fortheroadหาดจอมเทยนไทย,None,12.89398,100.87397,"Un bar convivial et vraiment agreable.
Les cocktails sont excellents et le service parfait. Il ont du tres bon cafe egalement.
Ils louent moto et velo. C est pratique car le bar se trouve a 60 metres de la plage","('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
7,2fortheroadหาดจอมเทยนไทย,ส.ค.2014,12.89398,100.87397,"Tres bien place dans le coeur de jomtien beach.
le 2 for the road passe de la tres bonne music et autres videos.
la barman tres sympathique realise de tres bons cocktails.
la clientele est internationale.
L ambiance est vraiment agreable","('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
8,2fortheroadหาดจอมเทยนไทย,ก.พ.2016,12.89398,100.87397,"Прогуливались вечером, и решили погулять не вдоль дороги. Наткнулись на этот бар. Взяли 2 фреша, расценки средние, не дороже придорожных кафе. Еду не брали, не были голодны. Обстановка спокойная и вполне приятная. Фреши оказались как и везде, вкусные))","('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
9,2fortheroadหาดจอมเทยนไทย,ก.พ.2016,12.89398,100.87397,"Бар в который заходил пару раз. Ничего особенного, чинно и спокойно. особого веселья тут не было, кухня без изысков.","('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
10,2fortheroadหาดจอมเทยนไทย,ก.พ.2016,12.89398,100.87397,"Тихий и спокойный бар. Находится немного вдалеке от основной дороги, поэтому тут нет толп людей вечером приятно посидеть с бутылочкой пива.","('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
